50 100 200 5 
11 14 20 10 16 
18 19 18 19 14 
15 19 16 12 20 
15 13 14 19 13 
12 14 12 19 15 
10 16 20 16 13 
17 14 20 10 19 
17 15 10 11 10 
20 19 15 13 17 
14 17 14 14 15 
15 18 17 15 16 
19 14 15 15 17 
10 12 10 18 10 
10 20 16 18 14 
15 15 12 20 13 
17 15 10 13 15 
10 13 12 13 10 
14 18 10 19 16 
10 17 14 19 15 
14 12 14 14 10 
17 20 18 10 19 
16 11 16 17 11 
20 10 18 18 17 
19 12 15 17 15 
15 18 13 13 14 
11 16 14 12 17 
17 19 13 17 15 
14 20 14 10 18 
17 12 18 18 18 
20 15 10 18 10 
18 13 20 18 13 
12 14 19 15 18 
10 12 14 20 20 
18 14 19 15 18 
13 17 13 19 14 
16 11 11 20 19 
18 14 14 10 16 
20 13 16 17 12 
14 20 20 19 16 
12 20 14 14 10 
20 20 16 12 20 
17 13 13 18 18 
18 20 10 19 16 
17 11 20 19 18 
10 13 17 13 10 
16 11 14 18 13 
19 19 14 12 11 
12 15 12 14 19 
14 16 14 10 13 
18 17 11 11 17 
15 19 17 15 13 
12 11 13 14 13 
13 20 13 16 16 
13 13 15 18 12 
11 16 11 12 17 
15 19 12 13 15 
19 12 20 10 11 
20 15 16 17 15 
10 11 17 11 20 
19 17 11 10 12 
15 16 17 19 10 
15 19 13 15 20 
13 10 13 17 11 
20 13 19 13 10 
15 16 14 15 11 
12 12 18 11 11 
10 11 18 16 12 
20 12 20 12 18 
10 20 20 12 16 
15 10 18 20 18 
14 14 12 14 13 
13 20 13 16 17 
20 14 18 11 13 
15 12 15 10 10 
15 19 10 15 20 
20 13 17 17 17 
10 18 13 10 13 
18 16 20 14 14 
18 17 11 14 20 
19 18 12 10 18 
11 19 13 17 10 
10 11 20 18 17 
17 20 11 18 12 
19 10 20 14 10 
16 20 13 19 13 
18 10 11 14 14 
17 12 19 12 16 
20 15 11 17 15 
19 17 13 18 16 
12 13 14 17 12 
13 20 17 19 17 
13 13 13 11 12 
15 20 12 12 10 
16 14 17 14 13 
19 17 16 15 15 
14 13 19 13 18 
19 11 16 10 12 
12 11 10 20 14 
14 11 19 15 18 
15 13 18 18 12 
15 17 19 17 14 
13 10 18 13 16 
11 11 19 14 12 
11 12 14 11 12 
16 15 11 11 16 
18 15 18 18 14 
10 20 11 14 18 
15 10 20 16 10 
15 12 12 18 19 
20 20 11 16 14 
18 13 20 11 18 
16 17 12 15 18 
19 16 10 18 19 
16 12 13 16 12 
19 19 13 16 13 
11 16 12 12 15 
12 10 19 20 15 
17 11 15 14 17 
11 17 12 19 12 
11 13 18 18 12 
13 13 10 18 16 
10 10 16 18 14 
14 10 14 17 20 
10 17 20 15 15 
17 17 11 20 14 
20 20 14 13 14 
12 10 15 17 19 
11 11 20 10 16 
13 17 18 17 20 
19 12 16 17 19 
17 20 20 12 11 
11 10 19 18 10 
17 16 11 19 10 
14 16 15 15 17 
14 13 17 12 16 
15 17 15 12 15 
11 16 19 13 19 
16 17 11 17 10 
19 13 15 11 19 
16 17 18 16 17 
20 15 19 12 20 
16 14 16 20 16 
11 18 17 20 10 
20 11 20 16 18 
14 18 13 17 11 
11 10 10 20 18 
16 17 20 12 15 
12 14 14 16 16 
15 20 13 17 16 
15 14 17 20 10 
20 20 20 18 11 
11 16 16 16 16 
12 17 13 10 19 
13 10 15 19 17 
16 13 11 16 14 
11 10 20 19 10 
17 19 19 18 11 
16 15 16 13 15 
18 16 14 20 15 
12 11 17 20 20 
15 19 18 11 12 
14 11 18 20 17 
12 17 18 12 10 
10 11 15 20 18 
19 20 10 16 18 
14 18 15 17 18 
11 14 20 18 14 
20 19 18 18 15 
14 15 20 14 20 
11 12 20 20 13 
19 15 13 19 15 
11 15 16 11 17 
11 14 16 15 17 
10 19 10 16 15 
14 11 20 16 14 
12 19 19 13 12 
11 20 19 15 11 
18 11 17 18 12 
15 19 12 10 10 
13 11 15 15 11 
14 15 19 16 15 
18 13 11 19 13 
20 19 19 20 13 
17 14 17 14 15 
12 12 14 18 14 
17 11 13 13 20 
19 12 10 18 17 
12 14 19 15 17 
19 12 20 20 18 
15 18 17 15 18 
15 13 16 20 16 
16 16 13 20 16 
18 11 20 12 17 
18 18 12 20 12 
15 15 14 14 19 
20 12 18 12 10 
16 17 16 17 14 
14 15 10 14 17 
19 12 19 20 20 
17 10 17 15 15 
598 475 334 323 341 27022 
557 356 610 586 353 29545 
462 362 466 396 419 22893 
331 459 523 603 576 25144 
474 326 409 573 481 24140 
432 581 555 349 357 28766 
562 368 511 370 404 27298 
541 588 531 365 304 27157 
523 295 370 525 507 27066 
567 514 351 439 580 20190 
439 565 466 529 396 25250 
515 374 493 484 570 20652 
501 454 434 319 390 24889 
360 558 327 543 398 26821 
561 478 332 447 583 29167 
464 585 453 588 310 28901 
436 315 359 492 368 21392 
365 510 405 563 325 29894 
395 578 363 598 300 24460 
566 579 403 333 448 25147 
441 518 562 574 421 24397 
410 579 507 587 516 28067 
601 310 542 420 517 22115 
490 581 442 344 526 21536 
300 428 322 506 450 26164 
533 366 313 323 375 20008 
396 349 397 547 471 27274 
506 450 585 592 435 24177 
361 541 511 358 336 26806 
514 446 449 337 474 28365 
328 542 437 594 472 28287 
530 295 561 603 461 20817 
364 519 598 343 421 26296 
324 303 343 332 349 22135 
587 537 331 511 307 23888 
417 413 314 584 518 29476 
509 575 471 391 410 22692 
534 460 443 593 422 22840 
427 405 447 352 339 27839 
358 333 588 368 442 22821 
357 403 399 606 494 20113 
373 468 464 322 365 29833 
341 362 387 494 563 28198 
481 569 528 492 348 23981 
550 337 553 462 492 21768 
598 346 456 488 339 21577 
370 365 326 306 568 22571 
366 409 354 334 475 21016 
510 340 355 555 453 26347 
510 320 338 385 506 27948 
43 42 41 35 41 37 38 42 36 43 40 41 41 38 42 36 36 40 44 43 41 43 38 36 40 38 41 40 39 37 39 39 39 40 39 38 35 39 37 42 42 40 43 42 45 40 45 38 40 40 42 39 41 45 36 42 38 40 40 44 35 38 42 41 45 37 45 37 44 42 40 43 35 36 42 42 39 41 43 45 42 38 43 36 35 40 35 36 44 43 43 39 35 41 40 35 40 39 37 39 
41 42 42 40 38 43 39 42 38 35 36 40 43 37 35 35 36 42 38 35 40 40 40 39 36 38 44 42 41 42 38 35 45 40 35 44 35 39 40 41 43 42 40 35 36 45 37 38 41 41 36 41 45 38 44 45 37 37 39 43 44 37 43 42 39 37 42 36 37 36 41 35 36 41 39 35 42 39 44 36 45 35 35 40 43 45 37 38 43 40 43 42 42 43 35 37 37 41 42 41 
39 37 37 42 36 43 36 35 42 36 45 40 41 45 35 41 42 40 35 39 40 43 35 39 45 40 38 39 43 37 36 39 45 45 37 35 36 40 36 40 36 44 39 39 38 42 41 44 43 44 42 39 45 41 38 40 40 39 37 35 39 40 38 36 37 43 40 42 44 37 42 37 39 35 40 37 43 40 35 37 42 39 37 45 36 43 45 36 41 35 38 38 40 44 44 42 38 43 41 35 
35 36 43 35 40 45 37 37 35 42 42 40 37 42 39 37 37 39 40 44 45 39 35 40 35 43 41 44 38 37 40 39 39 45 45 44 44 38 36 45 42 40 45 42 43 40 41 36 45 44 36 35 38 36 36 40 35 41 44 40 42 43 42 35 37 42 38 35 36 45 37 39 41 36 35 42 43 42 35 41 45 45 39 40 44 45 41 42 40 40 36 45 41 38 40 42 42 36 41 41 
42 40 41 41 39 36 40 43 35 35 40 38 35 37 36 39 41 41 41 45 43 40 40 42 42 39 40 40 42 40 38 41 38 42 40 45 37 39 41 43 45 42 44 40 37 36 44 37 42 35 45 38 44 38 45 40 36 39 42 39 36 43 36 39 38 38 43 38 38 35 41 40 37 36 45 44 40 39 43 36 36 35 36 40 39 44 39 39 42 38 35 43 44 45 44 43 36 41 35 43 
