50 100 200 5 
17 18 19 19 11 
18 17 15 15 20 
13 11 10 17 17 
17 15 18 16 17 
11 13 17 19 12 
12 17 17 18 20 
14 16 17 18 15 
14 16 17 12 11 
17 19 20 20 12 
20 14 19 17 15 
16 14 17 15 16 
11 17 10 15 10 
11 15 14 15 11 
12 13 20 16 10 
17 10 16 17 18 
13 17 20 13 15 
10 12 20 19 20 
20 13 20 11 11 
13 16 18 15 15 
10 12 14 16 16 
14 15 16 15 10 
20 11 14 15 16 
17 15 17 14 10 
12 18 14 14 10 
16 13 13 15 18 
15 14 17 18 12 
12 10 18 17 17 
10 14 11 15 12 
15 17 19 10 20 
16 13 18 14 11 
18 16 12 19 12 
13 13 16 15 19 
12 15 17 14 16 
17 11 20 17 19 
17 20 17 10 17 
11 12 10 10 20 
18 17 20 11 11 
20 20 19 19 19 
19 16 16 11 17 
12 19 19 17 15 
20 18 11 13 10 
16 20 14 17 14 
18 15 17 16 13 
12 12 19 19 18 
13 12 10 10 19 
11 19 14 19 18 
14 17 19 13 14 
13 20 15 20 20 
12 18 20 19 11 
19 20 16 20 20 
14 19 14 14 15 
12 18 12 18 18 
14 16 19 19 18 
18 13 15 17 20 
19 15 13 12 20 
14 19 13 20 20 
15 11 20 15 17 
16 20 17 13 12 
13 19 18 13 19 
15 11 15 13 15 
15 20 11 17 11 
16 15 19 14 18 
16 15 15 20 15 
20 16 12 10 18 
15 16 12 20 19 
13 14 11 17 18 
14 12 20 14 16 
18 10 11 14 18 
14 17 12 14 19 
15 14 12 14 17 
20 18 13 13 20 
14 19 10 18 13 
16 14 10 16 20 
17 16 18 19 10 
13 10 19 13 17 
17 10 11 13 14 
12 18 16 12 15 
18 15 18 15 19 
19 14 12 12 14 
11 20 13 10 10 
16 20 12 10 12 
10 16 17 18 10 
14 15 11 12 12 
13 13 15 18 18 
11 20 12 10 19 
17 11 11 10 10 
16 20 16 16 11 
20 11 13 17 10 
14 17 19 18 18 
11 18 14 11 15 
15 12 11 18 15 
18 20 10 12 16 
16 15 14 17 18 
20 14 12 18 18 
12 18 15 11 14 
10 20 15 16 20 
12 15 16 10 13 
13 18 17 18 12 
10 17 17 18 19 
17 17 15 15 14 
13 18 17 13 16 
14 20 14 10 20 
19 18 14 16 17 
18 12 17 13 20 
19 11 18 14 12 
10 15 19 14 15 
11 20 17 10 20 
17 17 12 17 12 
15 13 10 16 19 
18 13 19 14 10 
18 20 19 19 13 
18 13 20 18 20 
14 10 19 12 12 
11 10 12 19 11 
12 12 14 13 20 
18 13 18 16 17 
10 20 18 16 13 
16 17 11 11 15 
17 16 19 16 20 
15 19 20 13 15 
14 16 13 18 10 
10 19 19 17 18 
10 18 16 12 18 
11 15 12 12 10 
16 18 16 19 19 
17 20 20 19 19 
12 13 19 14 14 
19 19 15 10 14 
16 12 18 14 15 
14 11 16 16 12 
12 11 13 15 10 
18 15 15 14 11 
14 20 14 14 10 
20 18 13 19 14 
20 14 14 11 13 
15 16 20 12 15 
18 11 16 13 15 
20 19 15 10 12 
12 12 19 18 16 
20 19 17 11 13 
18 10 16 20 12 
18 14 19 15 13 
18 11 17 12 16 
20 13 16 17 10 
10 13 10 20 11 
17 18 10 19 11 
19 20 20 17 13 
12 14 14 10 18 
14 19 18 12 11 
13 10 12 11 20 
18 15 20 14 11 
16 19 15 19 16 
20 19 11 13 14 
16 12 17 14 18 
11 15 17 19 12 
16 11 12 11 19 
12 20 20 18 13 
11 13 19 10 16 
10 18 10 11 10 
12 18 18 13 17 
14 14 11 18 17 
20 16 18 13 15 
10 15 15 17 15 
11 12 15 19 10 
15 18 15 15 14 
11 18 19 14 19 
17 16 20 10 15 
18 15 13 15 14 
10 18 14 12 11 
17 14 15 20 12 
14 14 20 18 12 
15 20 16 14 10 
18 15 12 19 15 
13 18 14 17 11 
19 17 12 16 17 
12 18 16 20 13 
17 20 19 20 10 
20 16 20 10 18 
13 12 13 18 19 
18 11 16 10 12 
12 19 10 17 12 
10 11 15 16 13 
17 12 14 13 20 
12 16 14 10 15 
10 20 18 11 10 
14 10 19 17 12 
15 11 10 19 15 
12 15 14 18 15 
13 15 15 12 20 
13 14 17 19 19 
15 11 18 14 17 
10 13 18 13 19 
10 12 17 16 18 
18 11 20 16 15 
13 13 19 16 19 
18 12 18 10 16 
11 14 11 13 16 
12 12 19 11 20 
11 10 18 17 16 
14 12 11 10 17 
573 557 567 570 319 25110 
372 496 506 380 344 27721 
500 513 508 386 348 24466 
449 432 507 503 506 25722 
558 367 381 546 556 20701 
355 464 522 348 465 23828 
398 529 495 499 465 26488 
297 424 496 453 493 25782 
506 527 502 297 458 25327 
423 468 481 435 383 20954 
390 429 577 430 594 26249 
464 346 485 527 545 23260 
396 519 395 559 330 24447 
592 373 359 353 451 24102 
393 512 508 469 382 25832 
509 548 455 372 573 24501 
370 411 405 333 563 26960 
319 488 400 399 508 29469 
467 543 419 328 336 22301 
417 390 461 550 409 25733 
396 453 549 476 600 21986 
541 486 391 487 310 20332 
591 509 374 369 375 20576 
341 454 335 358 364 27680 
296 572 473 397 550 20817 
553 336 378 393 408 20043 
472 379 353 369 300 26367 
418 464 397 325 392 20886 
303 341 537 586 504 24028 
457 524 450 455 351 21821 
436 554 432 481 471 21435 
539 481 339 388 389 24087 
316 554 324 371 328 21478 
416 592 583 330 586 20677 
521 456 567 353 552 29442 
577 506 450 316 562 27377 
432 380 350 569 329 23461 
558 529 364 553 448 24202 
329 478 494 507 392 29194 
584 423 580 494 520 24108 
580 366 434 533 312 20565 
361 428 476 296 372 29162 
498 579 387 360 375 20986 
297 394 550 538 593 29908 
338 333 614 505 577 28844 
575 480 329 365 468 27887 
345 316 474 400 448 22858 
324 343 609 499 578 25082 
438 497 420 348 478 21736 
438 401 534 347 509 29739 
43 38 36 38 45 36 41 40 41 43 41 43 45 42 40 42 43 39 38 35 43 42 41 42 42 41 45 41 36 38 44 45 37 39 45 39 39 44 37 38 39 41 42 41 42 38 42 41 38 41 38 35 35 45 43 38 42 42 41 36 35 39 37 43 41 38 44 37 37 40 38 35 36 43 40 40 37 45 43 45 40 39 43 44 35 40 39 43 40 45 43 37 35 45 41 38 42 45 35 45 
36 38 41 42 39 35 44 39 41 35 40 41 44 36 38 38 43 41 40 37 39 38 41 37 43 39 36 40 44 39 42 38 45 42 35 38 36 44 39 44 42 39 42 36 41 44 45 43 35 35 41 43 43 43 37 44 38 37 36 35 40 37 43 40 37 38 38 41 35 41 43 35 44 45 36 39 39 44 36 41 44 36 39 40 44 42 37 43 44 40 43 38 39 43 37 36 36 43 37 35 
44 36 36 37 44 42 43 37 38 41 43 39 36 41 35 45 41 40 37 37 41 44 38 37 44 38 42 37 42 35 44 44 42 44 38 38 41 41 43 41 40 37 44 36 41 41 44 38 43 37 40 45 42 35 43 42 38 35 37 39 36 38 39 40 35 35 42 38 38 37 41 38 45 39 38 36 45 40 35 38 38 36 45 43 42 45 43 44 35 38 43 40 41 36 36 41 42 35 36 37 
37 43 44 38 41 42 36 35 39 40 40 40 38 41 44 35 36 36 38 38 44 37 36 41 36 43 45 36 42 36 42 36 35 45 44 37 38 41 43 45 37 38 42 39 35 42 44 43 42 36 43 37 42 41 40 41 36 43 38 41 39 42 40 36 45 38 43 38 42 41 36 44 45 44 36 40 43 41 39 45 41 42 36 40 36 41 35 41 41 39 43 44 44 39 42 40 38 40 43 35 
38 40 44 45 37 43 40 42 36 37 41 41 36 37 40 45 43 45 35 42 44 41 39 37 40 35 39 39 41 42 39 35 39 40 42 42 36 35 45 45 41 39 36 42 36 42 40 37 37 35 42 39 38 39 43 40 41 35 40 37 40 44 40 37 42 40 43 42 42 38 44 39 35 41 44 38 40 44 35 43 43 38 43 38 44 39 36 35 37 40 38 35 40 41 40 44 44 44 36 35 
41 38 39 38 45 45 35 41 42 36 44 43 39 42 45 42 41 39 39 41 39 43 39 43 35 40 39 43 35 39 44 36 40 39 39 41 44 45 39 41 39 42 39 40 37 45 44 36 39 40 43 38 45 36 39 40 39 37 40 42 42 40 43 41 39 44 35 37 43 36 45 42 45 42 44 37 45 36 44 45 35 36 43 38 45 40 35 37 36 45 44 35 39 37 37 37 45 44 43 45 
42 40 42 40 38 37 41 42 35 35 41 45 41 42 38 40 36 41 36 37 38 44 43 43 38 35 45 43 39 35 41 41 41 37 36 38 44 37 39 35 44 36 36 37 40 44 43 42 45 44 38 36 42 35 37 37 45 43 38 42 40 38 36 44 38 45 36 41 45 44 41 39 41 45 37 36 38 42 37 43 42 38 41 38 37 41 39 43 41 35 37 43 42 41 42 35 42 38 37 42 
45 41 37 39 45 43 36 35 36 37 38 45 38 38 41 35 39 36 38 44 36 43 38 44 38 44 38 42 39 37 44 40 40 45 45 36 40 39 44 40 36 39 35 39 38 43 37 43 39 41 43 38 35 35 45 37 43 37 44 42 42 36 40 38 40 41 41 40 38 39 45 45 36 37 41 42 37 35 37 36 40 45 43 44 41 38 44 43 43 40 44 36 38 35 39 44 42 37 40 36 
45 37 39 38 44 42 39 45 43 41 44 36 44 35 36 36 42 40 38 39 45 38 35 39 44 35 42 44 35 44 43 40 45 41 45 40 36 43 41 40 38 43 45 35 42 35 41 45 45 42 36 39 42 42 42 43 43 39 44 44 37 40 35 37 36 43 43 39 41 36 42 43 44 37 35 38 41 35 41 44 42 38 41 35 43 38 38 43 36 45 39 39 37 43 41 35 42 37 38 36 
42 35 36 45 45 38 37 45 35 35 36 40 44 38 38 36 37 41 45 36 36 35 37 35 42 36 41 44 38 45 35 42 36 37 37 38 36 45 35 37 43 44 41 37 42 45 42 39 39 39 43 40 40 37 41 36 44 35 45 37 37 37 40 35 38 45 35 42 38 44 41 36 40 45 42 38 39 39 35 42 36 40 45 35 39 41 35 45 41 44 36 45 35 36 43 38 40 42 41 38 
42 45 45 37 38 38 44 40 43 45 45 42 43 45 45 35 42 37 35 44 41 43 35 45 45 43 43 40 41 37 44 42 39 38 37 39 42 42 42 38 35 45 43 40 35 41 35 38 37 36 42 36 44 35 36 44 42 44 44 44 39 45 35 41 41 39 44 38 42 44 38 39 41 45 43 40 41 39 38 37 41 37 38 45 43 41 37 45 38 38 44 38 43 42 39 44 45 37 38 41 
43 38 39 38 36 38 45 45 43 35 39 41 39 41 44 39 41 44 35 44 44 45 38 39 41 41 38 41 40 38 37 43 37 42 39 38 35 44 35 44 40 43 43 44 37 36 36 39 39 41 43 44 39 35 42 45 43 38 43 42 44 41 44 36 44 35 40 38 39 37 37 42 37 36 40 35 41 41 40 35 45 38 40 45 43 36 37 42 43 45 38 42 43 41 35 36 44 44 45 42 
42 41 43 43 41 44 37 35 37 42 39 42 40 39 37 37 38 41 35 44 40 41 43 43 44 45 41 37 43 45 36 40 38 37 37 39 43 39 37 38 43 43 40 37 43 36 45 38 44 40 43 45 44 36 37 38 40 45 38 40 42 40 40 36 44 42 36 38 45 44 44 38 36 41 44 44 45 36 45 40 43 39 44 44 40 37 39 38 45 38 40 39 43 42 39 41 44 35 39 39 
41 40 45 44 40 35 43 44 38 35 36 38 42 41 37 35 38 36 36 44 42 44 43 45 43 37 35 37 40 35 38 35 39 42 40 39 43 44 40 36 44 37 35 43 45 35 35 41 41 42 39 43 45 39 45 35 43 42 40 45 35 39 45 43 44 43 38 41 43 43 35 38 45 35 37 42 39 38 44 40 40 42 35 37 43 45 40 43 37 35 45 40 44 43 42 40 40 42 39 35 
44 45 44 38 44 38 37 40 45 44 37 39 43 41 41 39 43 38 35 36 41 43 44 45 35 45 35 35 37 42 42 44 44 39 35 44 36 40 40 44 45 45 42 41 39 35 39 45 35 35 44 39 45 45 38 45 39 43 37 43 41 45 38 42 45 44 45 43 36 44 39 37 36 44 45 45 36 35 39 39 35 43 40 45 39 40 36 38 38 35 38 40 43 39 38 42 37 45 39 45 
