100 200 400 5 
15 18 19 19 11 
10 17 15 15 20 
19 11 10 17 17 
11 15 18 16 17 
19 13 17 19 12 
12 17 17 18 20 
17 16 17 18 15 
17 16 17 12 11 
18 19 20 20 12 
15 14 19 17 15 
10 14 17 15 16 
13 17 10 15 10 
11 15 14 15 11 
12 13 20 16 10 
11 10 16 17 18 
17 17 20 13 15 
10 12 20 19 20 
15 13 20 11 11 
12 16 18 15 15 
17 12 14 16 16 
18 15 16 15 10 
13 11 14 15 16 
17 15 17 14 10 
14 18 14 14 10 
11 13 13 15 18 
14 14 17 18 12 
16 10 18 17 17 
17 14 11 15 12 
18 17 19 10 20 
17 13 18 14 11 
10 16 12 19 12 
10 13 16 15 19 
12 15 17 14 16 
20 11 20 17 19 
13 20 17 10 17 
15 12 10 10 20 
10 17 20 11 11 
20 20 19 19 19 
15 16 16 11 17 
20 19 19 17 15 
20 18 11 13 10 
19 20 14 17 14 
10 15 17 16 13 
16 12 19 19 18 
13 12 10 10 19 
15 19 14 19 18 
15 17 19 13 14 
10 20 15 20 20 
18 18 20 19 11 
10 20 16 20 20 
20 19 14 14 15 
20 18 12 18 18 
11 16 19 19 18 
14 13 15 17 20 
17 15 13 12 20 
20 19 13 20 20 
16 11 20 15 17 
17 20 17 13 12 
12 19 18 13 19 
16 11 15 13 15 
10 20 11 17 11 
10 15 19 14 18 
13 15 15 20 15 
20 16 12 10 18 
20 16 12 20 19 
10 14 11 17 18 
13 12 20 14 16 
18 10 11 14 18 
13 17 12 14 19 
10 14 12 14 17 
15 18 13 13 20 
11 19 10 18 13 
17 14 10 16 20 
11 16 18 19 10 
19 10 19 13 17 
18 10 11 13 14 
12 18 16 12 15 
10 15 18 15 19 
10 14 12 12 14 
13 20 13 10 10 
15 20 12 10 12 
10 16 17 18 10 
18 15 11 12 12 
15 13 15 18 18 
15 20 12 10 19 
20 11 11 10 10 
19 20 16 16 11 
20 11 13 17 10 
16 17 19 18 18 
20 18 14 11 15 
12 12 11 18 15 
14 20 10 12 16 
10 15 14 17 18 
14 14 12 18 18 
14 18 15 11 14 
17 20 15 16 20 
14 15 16 10 13 
10 18 17 18 12 
17 17 17 18 19 
11 17 15 15 14 
19 18 17 13 16 
11 20 14 10 20 
17 18 14 16 17 
16 12 17 13 20 
13 11 18 14 12 
12 15 19 14 15 
11 20 17 10 20 
11 17 12 17 12 
20 13 10 16 19 
19 13 19 14 10 
20 20 19 19 13 
12 13 20 18 20 
16 10 19 12 12 
15 10 12 19 11 
14 12 14 13 20 
17 13 18 16 17 
19 20 18 16 13 
19 17 11 11 15 
15 16 19 16 20 
14 19 20 13 15 
11 16 13 18 10 
10 19 19 17 18 
17 18 16 12 18 
11 15 12 12 10 
19 18 16 19 19 
18 20 20 19 19 
20 13 19 14 14 
17 19 15 10 14 
12 12 18 14 15 
16 11 16 16 12 
16 11 13 15 10 
16 15 15 14 11 
17 20 14 14 10 
15 18 13 19 14 
16 14 14 11 13 
20 16 20 12 15 
16 11 16 13 15 
13 19 15 10 12 
14 12 19 18 16 
13 19 17 11 13 
19 10 16 20 12 
12 14 19 15 13 
16 11 17 12 16 
20 13 16 17 10 
16 13 10 20 11 
16 18 10 19 11 
12 20 20 17 13 
10 14 14 10 18 
20 19 18 12 11 
19 10 12 11 20 
19 15 20 14 11 
15 19 15 19 16 
18 19 11 13 14 
13 12 17 14 18 
15 15 17 19 12 
15 11 12 11 19 
16 20 20 18 13 
15 13 19 10 16 
12 18 10 11 10 
20 18 18 13 17 
19 14 11 18 17 
16 16 18 13 15 
18 15 15 17 15 
11 12 15 19 10 
16 18 15 15 14 
17 18 19 14 19 
16 16 20 10 15 
18 15 13 15 14 
17 18 14 12 11 
15 14 15 20 12 
15 14 20 18 12 
14 20 16 14 10 
17 15 12 19 15 
13 18 14 17 11 
15 17 12 16 17 
10 18 16 20 13 
15 20 19 20 10 
11 16 20 10 18 
19 12 13 18 19 
14 11 16 10 12 
18 19 10 17 12 
12 11 15 16 13 
17 12 14 13 20 
16 16 14 10 15 
19 20 18 11 10 
17 10 19 17 12 
16 11 10 19 15 
10 15 14 18 15 
14 15 15 12 20 
19 14 17 19 19 
10 11 18 14 17 
14 13 18 13 19 
12 12 17 16 18 
10 11 20 16 15 
19 13 19 16 19 
18 12 18 10 16 
15 14 11 13 16 
18 12 19 11 20 
13 10 18 17 16 
18 12 11 10 17 
18 14 14 16 17 
20 15 19 18 20 
18 14 17 12 14 
14 15 15 15 16 
11 19 11 11 14 
11 15 13 20 13 
10 15 10 11 10 
14 11 15 15 10 
17 13 13 20 19 
13 14 19 19 16 
15 11 12 14 18 
18 20 19 17 12 
20 13 20 16 18 
15 10 15 10 12 
19 15 19 13 20 
12 16 19 10 16 
19 10 10 18 18 
20 13 12 20 20 
10 15 12 12 19 
15 11 12 12 10 
11 15 13 18 10 
19 15 14 16 14 
12 10 16 14 20 
19 10 17 11 12 
20 19 13 18 18 
17 20 10 16 12 
18 16 19 11 14 
18 13 19 16 18 
17 10 13 12 16 
15 10 12 15 16 
16 14 12 20 11 
11 16 19 17 18 
16 11 18 11 16 
18 20 13 18 12 
20 10 15 13 14 
19 11 17 13 11 
18 13 15 14 13 
12 16 16 20 17 
10 13 18 19 12 
15 19 15 12 17 
18 19 17 15 14 
19 16 17 18 14 
12 13 11 20 19 
15 15 15 17 11 
19 16 15 16 16 
20 10 14 17 14 
16 13 19 16 16 
15 14 12 17 19 
15 16 12 19 17 
10 10 16 17 16 
10 13 20 14 20 
11 17 11 14 17 
20 13 16 10 13 
13 15 20 19 20 
17 14 12 13 13 
18 15 20 15 18 
17 18 15 19 15 
19 20 19 20 13 
13 11 13 17 18 
19 17 10 15 20 
13 12 12 13 15 
14 13 18 20 12 
13 19 11 11 16 
10 10 16 15 17 
15 15 15 15 14 
19 20 17 12 20 
19 10 11 10 19 
13 14 14 17 20 
16 14 12 13 20 
18 12 10 12 19 
18 20 10 12 17 
16 16 10 20 13 
10 17 19 14 20 
18 10 11 11 20 
11 16 18 16 15 
11 12 19 10 12 
11 19 18 15 17 
17 19 19 11 16 
11 13 10 15 15 
18 16 10 19 18 
10 18 12 12 17 
18 12 10 13 19 
20 15 17 14 12 
20 16 12 11 18 
13 13 14 20 20 
16 14 20 19 11 
16 10 11 13 10 
14 11 19 13 11 
17 10 12 17 12 
13 12 14 20 16 
16 16 18 15 15 
20 12 15 19 14 
10 10 20 19 11 
20 10 13 18 20 
14 19 10 15 14 
19 11 20 12 19 
15 18 17 15 15 
18 14 20 20 16 
11 12 11 19 12 
18 19 13 18 13 
10 11 16 15 13 
17 12 15 19 15 
15 11 15 10 10 
12 19 15 17 11 
14 10 11 12 13 
19 17 10 15 10 
13 18 17 15 11 
18 19 13 18 15 
15 16 20 18 10 
10 16 18 18 16 
11 16 10 11 19 
12 18 15 15 15 
13 20 14 15 18 
13 10 11 11 16 
18 17 11 15 20 
16 14 10 14 14 
17 17 19 19 19 
20 14 15 11 19 
14 15 10 15 19 
12 17 18 17 13 
12 12 13 17 18 
20 19 14 11 17 
12 19 18 15 20 
15 12 18 14 12 
11 20 16 19 15 
12 11 19 15 11 
13 13 15 11 11 
10 14 12 20 14 
17 20 16 16 16 
10 14 20 10 10 
15 15 12 17 20 
16 19 15 13 14 
18 10 17 16 15 
19 18 17 17 16 
16 18 19 19 16 
11 12 11 14 14 
13 14 17 16 16 
15 18 14 10 13 
10 16 15 19 11 
17 18 13 18 14 
17 20 11 13 18 
10 16 10 19 10 
20 15 15 16 15 
19 14 10 16 12 
18 13 18 11 20 
19 14 19 16 15 
18 18 19 17 20 
13 17 10 11 10 
19 19 10 17 11 
10 13 13 11 18 
17 20 15 11 12 
16 15 12 14 16 
14 14 13 18 11 
20 19 18 19 13 
16 18 20 10 16 
17 14 11 12 17 
14 11 12 18 17 
11 20 10 14 18 
11 20 12 11 12 
13 14 16 16 16 
10 17 11 18 18 
11 12 15 11 10 
16 14 18 19 15 
12 13 14 12 15 
17 13 16 14 15 
10 20 18 17 17 
19 16 14 17 18 
20 13 13 20 13 
14 11 14 14 15 
18 12 11 15 16 
19 20 18 17 13 
12 15 10 19 11 
10 13 13 16 17 
17 15 15 10 17 
19 11 19 10 17 
19 20 10 19 12 
18 14 14 12 11 
13 15 11 13 13 
10 16 15 12 15 
20 20 12 12 18 
18 10 12 20 16 
11 14 13 11 15 
10 19 11 13 15 
17 13 13 15 10 
10 10 11 14 12 
20 12 13 15 13 
13 10 20 13 10 
17 12 11 11 11 
16 19 11 14 16 
11 14 10 11 15 
20 18 18 20 11 
18 17 17 20 17 
10 10 16 13 20 
13 16 13 15 13 
10 20 16 14 14 
12 15 14 15 18 
11 12 14 16 11 
16 17 14 17 15 
19 15 20 15 12 
15 14 15 12 13 
235 212 290 230 215 25074 
148 254 296 195 229 28373 
167 252 207 158 221 21211 
255 147 197 225 296 24876 
126 255 204 292 135 22406 
135 128 264 287 142 24152 
280 158 200 255 173 21035 
171 133 177 263 134 22211 
282 274 280 136 157 26411 
156 231 274 232 132 21881 
270 155 134 121 288 29113 
263 242 267 199 144 20799 
146 184 194 221 156 26013 
262 258 140 139 275 23347 
251 157 205 274 265 23111 
161 295 140 248 142 23247 
150 164 257 134 229 29476 
197 128 139 161 202 20066 
212 136 277 235 260 21174 
175 284 201 160 238 29587 
250 225 195 187 197 29559 
145 258 158 222 219 21450 
282 215 244 285 130 24900 
193 120 209 233 296 27531 
198 146 241 202 157 24565 
158 222 222 139 237 25037 
197 274 287 127 209 28161 
283 298 166 185 191 23524 
121 131 272 235 154 20360 
165 141 186 258 165 26974 
298 189 284 264 247 25917 
261 183 185 143 138 20424 
129 198 153 275 184 28074 
204 238 288 165 271 26620 
202 183 256 296 140 28383 
124 126 133 232 196 21879 
192 291 186 204 232 27039 
180 257 261 184 147 27277 
211 181 170 138 147 27497 
210 136 209 139 125 23448 
141 213 164 252 288 28934 
297 276 276 299 167 23214 
253 127 164 286 182 20777 
199 166 233 300 281 20006 
301 293 150 235 196 20764 
245 273 224 181 233 29971 
124 247 202 160 192 27267 
287 209 226 245 219 21454 
165 194 142 181 210 28867 
204 251 295 283 181 26105 
283 286 262 156 205 24859 
231 269 231 272 146 29348 
297 173 258 273 294 26637 
154 186 253 290 146 26390 
210 157 202 188 149 26480 
290 252 166 182 224 27967 
239 231 229 238 167 24842 
188 279 227 294 234 20717 
299 209 131 285 226 28875 
259 292 214 242 243 22147 
135 255 143 199 181 20767 
260 204 146 238 190 22614 
278 130 245 211 250 29088 
262 128 300 258 159 23162 
269 141 277 212 131 29731 
209 287 151 171 284 26855 
276 269 152 279 178 27589 
171 293 274 199 149 20198 
139 236 224 231 156 24954 
132 172 239 185 138 26403 
186 141 123 197 137 24207 
246 255 157 126 241 24742 
275 213 197 197 209 23089 
208 212 295 174 135 23071 
183 198 246 265 295 20329 
221 138 294 152 185 27992 
196 261 293 179 284 27410 
148 128 293 137 187 24483 
230 258 237 232 290 28203 
180 138 160 183 182 29618 
281 283 171 266 249 26863 
196 192 138 266 144 21590 
157 197 218 128 214 28656 
242 250 146 200 173 21097 
297 212 179 183 211 24546 
129 283 239 169 164 28463 
178 258 166 193 217 25313 
289 204 170 185 249 28391 
295 285 261 261 220 21814 
131 162 252 255 177 20129 
247 211 129 267 226 26588 
275 142 220 270 122 27473 
153 252 176 152 243 25362 
244 142 182 216 122 27842 
166 227 274 276 282 24240 
150 162 211 280 220 23900 
175 239 246 165 216 20386 
284 268 253 209 300 23373 
157 257 130 148 211 23177 
153 255 170 195 273 25271 
36 41 35 37 35 42 44 44 38 43 44 45 35 44 40 43 45 43 44 39 44 43 36 36 36 35 39 38 38 45 36 42 41 45 44 39 40 37 41 45 41 44 43 43 37 36 38 42 43 38 41 36 39 39 39 35 35 37 39 35 42 45 43 36 43 42 39 37 41 42 44 40 38 42 36 43 35 44 38 38 42 42 42 35 38 42 39 44 35 45 42 44 38 36 36 43 42 39 37 39 42 45 38 38 43 41 35 45 36 37 35 38 36 45 39 40 37 39 39 43 35 35 45 41 43 41 45 45 44 36 36 39 36 43 36 43 45 42 39 36 42 42 38 36 45 41 41 35 41 35 43 36 39 36 43 35 40 42 43 43 39 35 39 43 39 37 35 38 38 37 38 45 43 40 44 40 45 40 37 42 42 37 41 44 40 40 42 42 41 37 37 37 41 42 41 35 42 38 36 37 
35 39 36 40 38 41 37 36 43 42 38 45 40 38 43 45 44 40 38 44 40 39 38 42 42 39 42 37 37 40 35 40 41 40 45 39 40 40 43 40 38 41 45 44 45 41 44 40 42 41 39 39 36 42 38 45 45 43 45 45 43 37 41 39 38 44 41 45 44 38 43 40 43 38 38 43 38 43 40 40 39 42 41 42 45 43 41 39 38 36 40 35 45 41 41 41 37 40 39 41 38 43 41 36 42 39 37 41 39 35 42 40 35 39 35 36 38 40 40 37 44 40 41 35 42 35 36 37 36 42 38 35 44 39 45 44 40 37 38 43 37 38 42 38 36 42 39 43 38 40 44 40 43 41 37 43 39 45 40 40 39 42 38 38 41 45 35 42 43 44 36 36 44 38 38 38 42 45 41 39 36 42 38 40 43 42 36 43 40 42 38 44 38 36 36 37 42 42 45 43 
39 40 45 41 43 42 38 39 40 38 42 41 40 42 40 35 42 40 44 38 36 39 39 40 42 38 37 45 36 43 42 39 41 45 39 36 43 45 38 41 43 43 43 45 35 43 45 43 44 40 44 39 44 35 36 37 44 41 38 41 40 38 35 41 35 36 40 41 42 36 41 41 38 45 40 45 41 43 39 35 39 43 39 36 44 42 38 39 41 36 42 44 42 41 41 38 39 43 43 38 36 39 36 35 42 36 38 45 35 40 42 42 36 44 43 36 42 39 35 45 36 35 44 36 40 44 42 35 40 38 39 41 43 40 36 43 35 45 40 41 41 39 40 44 38 35 42 36 41 45 38 40 40 39 43 39 39 38 38 36 39 45 37 41 43 39 39 36 42 40 45 41 36 35 39 39 37 39 40 40 40 35 40 43 35 38 44 44 45 43 43 38 39 41 40 37 43 37 37 38 
