100 200 400 5 
12 18 19 19 11 
15 17 15 15 20 
20 11 10 17 17 
10 15 18 16 17 
14 13 17 19 12 
11 17 17 18 20 
13 16 17 18 15 
13 16 17 12 11 
19 19 20 20 12 
18 14 19 17 15 
10 14 17 15 16 
17 17 10 15 10 
10 15 14 15 11 
11 13 20 16 10 
10 10 16 17 18 
13 17 20 13 15 
10 12 20 19 20 
18 13 20 11 11 
11 16 18 15 15 
19 12 14 16 16 
14 15 16 15 10 
11 11 14 15 16 
19 15 17 14 10 
17 18 14 14 10 
10 13 13 15 18 
12 14 17 18 12 
13 10 18 17 17 
19 14 11 15 12 
14 17 19 10 20 
19 13 18 14 11 
15 16 12 19 12 
15 13 16 15 19 
11 15 17 14 16 
15 11 20 17 19 
17 20 17 10 17 
12 12 10 10 20 
15 17 20 11 11 
20 20 19 19 19 
18 16 16 11 17 
15 19 19 17 15 
20 18 11 13 10 
14 20 14 17 14 
15 15 17 16 13 
13 12 19 19 18 
11 12 10 10 19 
12 19 14 19 18 
18 17 19 13 14 
15 20 15 20 20 
19 18 20 19 11 
15 20 16 20 20 
20 19 14 14 15 
15 18 12 18 18 
16 16 19 19 18 
17 13 15 17 20 
13 15 13 12 20 
20 19 13 20 20 
18 11 20 15 17 
19 20 17 13 12 
11 19 18 13 19 
18 11 15 13 15 
10 20 11 17 11 
10 15 19 14 18 
17 15 15 20 15 
20 16 12 10 18 
20 16 12 20 19 
15 14 11 17 18 
11 12 20 14 16 
19 10 11 14 18 
11 17 12 14 19 
10 14 12 14 17 
18 18 13 13 20 
16 19 10 18 13 
19 14 10 16 20 
10 16 18 19 10 
20 10 19 13 17 
19 10 11 13 14 
11 18 16 12 15 
15 15 18 15 19 
15 14 12 12 14 
17 20 13 10 10 
12 20 12 10 12 
10 16 17 18 10 
14 15 11 12 12 
18 13 15 18 18 
12 20 12 10 19 
15 11 11 10 10 
14 20 16 16 11 
20 11 13 17 10 
18 17 19 18 18 
15 18 14 11 15 
16 12 11 18 15 
17 20 10 12 16 
10 15 14 17 18 
12 14 12 18 18 
17 18 15 11 14 
19 20 15 16 20 
17 15 16 10 13 
15 18 17 18 12 
19 17 17 18 19 
10 17 15 15 14 
20 18 17 13 16 
16 20 14 10 20 
13 18 14 16 17 
13 12 17 13 20 
11 11 18 14 12 
16 15 19 14 15 
10 20 17 10 20 
10 17 12 17 12 
